,clean_data_l2,final_label,len_desc
369,Check ,Bank to Bank - Personal transaction,6
370,"Recurring Card Purchase  WiWi.Com, Inc.  CA Card ",Online purchase,49
371,Online Transter To Chk  Transaction: ,Bank to Bank - Personal transaction,37
372,ONELEGAL CCSALE  CA ,Online purchase,20
373,Orig CO Name:Shopity Capital Orig ID: Desc Date: CO Entry Descr:Rcg Sec:CCD Trace: Eed: Ind D: Ind Name:Marner Holdings Inc Trn:  Tc,Online purchase,132
374,"Orig CO Name:Gusto Orig ID: Desc Date: CO Entry Descr: Ta ,. ",Personal Expense,61
375,Online Wire Transfer Via: Bk Amer Nyc/ ,Bank to Bank - Personal transaction,39
376,Online Transfer To Chk  Transaction: ,Bank to Bank - Personal transaction,37
377,Bill Pay Fifth Third Bank onLine Xooooo on ,Bank to Bank - Personal transaction,43
378,Zelle Payment To Jamael Trainer  ,Bank to Bank - Personal transaction,33
379,AplPay AJEH LLC Laguna Hills CA ,Online purchase,32
380,"PLUMREWARD, LLC DES:SALE ID: INDN:NEW AGE VENDING LLC PS CO",Online purchase,59
381,/ Payment To Chase Card Ending IN ,Personal Expense,34
382,Zelle Payment To Kaner Vonap Jpm,Bank to Bank - Personal transaction,32
383,MERCHANTS FOODSE DES:MERCHANTS ID:FTXOOOOMXXXX INDN:NEW AGE VENDING LLC CO,Food bill,74
384,Card Purchase Fede   TN Card ,Online purchase,29
385,Check   .,Personal Expense,9
386,"Quuicken Loans Mtg Pymts PPD ID: © ,.",Personal Expense,37
387,Online Domestic Wire Transfer Via: Bbva USA/ A/C: Mach  Tempe AZ  US Imad: BQgcC,Bank to Bank - Personal transaction,80
388,"Orig CO Name:Shopify Capital, Orig ID: Desc Date: CO Entry Descr:Ramhdotet Sec:CCD Trace: Eed: Ind ID: Ind Name:Marner Holdings Inc Trn: Tc",Online purchase,139
389,Card Purchase Mach Global Services  AZ Card ,Online purchase,44
390,Card Purchase at End Clothing Newcastle Upo,Online purchase,43
391,Check   Capital One Arc Check Pymt Arc ID: ,Bank to Bank - Personal transaction,43
392,"MERCHANTS FOODSE DES:MERCHANTS ID:FTXXOXXXXXXX INDN:NEW AGE VENDING LLC CO ,.",Food bill,77
393,Withdrawal  ATM Withdrawal ,Personal Expense,27
394,Wire Trans Svc Charge  Sequence:  Srf,Bank to Bank - Personal transaction,37
396,Hmfusa.Com PPD ID: ,Online purchase,19
397,Service fees ,Personal Expense,13
398,Check No.  A,Personal Expense,12
399,Zelle Payment To Eddie Rojas ,Bank to Bank - Personal transaction,29
400,Check ,Personal Expense,6
401,Online Wire Transfer Via: Wells Fargo NA/ A/C: Andres Salami Miramar FL  US Ref:/Time/: Imad: BQgcC Trn: Es,Bank to Bank - Personal transaction,107
402,Online Transfer To Chk  Transaction: ,Bank to Bank - Personal transaction,37
403,Card Purchase With Pin at EviSan Manuel ,Online purchase,40
404,Electronic withdrawal to Irs Usatapymt  CCD ID: ,Personal Expense,48
406,Check No.  A,Personal Expense,12
407,Citi Autopay Payment  Tel ID: Citicardap,Bank to Bank - Personal transaction,40
408,Bill Pay Chase Card Servi onLine Xooooo on ,Online purchase,43
409,Orig CO Name:Shopify Capital        Orig ID: Desc Date: CO Entry ,Online purchase,65
410,Check ,Bank to Bank - Personal transaction,6
411," Jurupa Csd Onlin Pmnt  Web ID:  . ,.",Gas bill,37
412,Check ,Personal Expense,6
413,Fede   TN Card ,Online purchase,15
414,Redwood Mortgage Achuwbeb ,Bank to Bank - Personal transaction,26
415,Withdrawal  ATM /  ATB:CITY GROCERY ON:  VIA:  AMT: .,Personal Expense,53
416,Citi Card Online Payment  Web ,Online purchase,30
417,Bill Pay Waste Management onLine ,Gas bill,33
418,"Orig CO Name: Goldenrule, Orig ID: , Desc Date: , CO Entry Descr: Ins Prem, Sec: PPD, Trace: , Eed: , Ind Name: Kaner Apelacio",Personal Expense,126
419,CHECK NO.  A,Personal Expense,12
420,TRAVELERS ,Personal Expense,10
421,Bill Pay Target Credit Card onLine Xoo:c on ,Online purchase,44
422,Check   ,Personal Expense,8
423,Bill Pay Biz Credit Card onLine Xooooo on ,Online purchase,42
424,Barclaycard US ,Online purchase,15
425,Recurring Card Purchase ,Online purchase,24
426,Orig CO Name:Shopify Capital Orig ID: Desc Date: CO Entry Descr:RFfNpl Sec:CCD Trace: Eed: Ind ID: Ind Name:Marner Holdings Inc Trn: Tc,Online purchase,135
427,Online Wire Transfer Via: Wells Fargo NA/ A/C: Daniel Ramirez Hialeah FL  US Ref:/Time/: Imad: BQgcC Trn: Es,Bank to Bank - Personal transaction,108
428,Card Purchase  Amzn Mkip USBaC Amzn.Com/Bill WA Card ,Online purchase,53
429,Card Purchase ,Online purchase,14
430,Recurring Card Purchase / Adobe  Adobe.Ly/Enus CA Card ,Online purchase,55
431,AMERICAN EXPRESS DES:AXP DISCNT ID: INDN:PLANET SMOOT CO .,Online purchase,58
432,Orig CO Name:Gusto Orig D: Desc Date: CO Entry Descr.Fee . ec.CCD  Trace: Eed: ,Personal Expense,79
433,Net ,Online purchase,4
434,"AMERICAN EXPRESS Bill Payment ,.",Personal Expense,32
435,Card Purchase With Pin  Usps PO   West Hollywoo CA Card  .,Online purchase,58
436,Card Purchase With Pin ,Online purchase,23
437,Check No.  A,Personal Expense,12
438,Online Transfer To Chk  Transaction: ,Bank to Bank - Personal transaction,37
439,Agent Assisted pymt to BkofAm CRD  Confirmation ,Bank to Bank - Personal transaction,48
440,Transfer ,Bank to Bank - Personal transaction,9
441,AMERICAN EXPRESS DES:AXP DISCNT ID: INDN:PLANET SMOOT CO . ID: CCD,Online purchase,66
442,Card Purchase With Pin  Pro Mart Los Angeles CA Card ,Online purchase,53
443,Irs Usatapymt  CCD ID: ,Personal Expense,23
444,Zelle Payment To Melissa Fw Jpm,Bank to Bank - Personal transaction,31
445,Orig CO Name:Shopify Capital Orig ID: Desc Date: CO Entry Descr:Rtbjuwjqu Sec:CCD Trace: Eed: Ind ID: Ind Name:Marner Holdings Inc Trn: Tc,Online purchase,138
446,Online Banking transfer to CHK  ,Bank to Bank - Personal transaction,32
447,BANK OF AMERICA DES:FINCL ADJ ID: INDN:LV NET LLC CO ID:XXXXXXXXXB CCD,Bank to Bank - Personal transaction,70
448,Check No.  A,Personal Expense,12
449,Online Transfer To Chk  Transaction: ,Bank to Bank - Personal transaction,37
450,"AMERICAN EXPRESS Bill Payment ,.",Gas bill,32
451,Recurring Card Purchase  Lzc Legal Plan  CA Card ,Online purchase,49
452,"Online Domestic Wire Transfer Via: Wells Fargo NA/ A/C: Neil C Mathura Pembroke Pines FL  US Ref: Reimbursement ./Acc/Org CR Pty Aba/ Wellsfargo Bank, Nat lonal Associat   E Nine Mile Rd/Time/: Imad: BQgcC Trn: Es",Bank to Bank - Personal transaction,213
453,Orig CO Name:Shopify Capital        Orig ID: Desc Date: CO Entry ,Online purchase,65
454,Check ,Personal Expense,6
455,Check  ,Personal Expense,7
456,Check ,Personal Expense,6
457,Card Purchase Fede   TN Card ,Online purchase,29
459,Check  ,Personal Expense,7
461,Check    Socalgas Arc Pymt Arc ID: ,Gas bill,35
462,Orig CO Name:Shopify Capital Orig ID: Desc Date: CO Entry Descr:RflaeIsa Sec:CCD Trace: Eed: Ind ID: Ind Name:Marner Holdings Inc Trn: ,Online purchase,135
463,Bill Pay TriState Electric Membership CO onLine  on ,Gas bill,52
464,Online Transfer To Chk  Transaction; ,Bank to Bank - Personal transaction,37
465,AMERICAN EXPRESS DES:AXP DISCNT ,Online purchase,32
466,Online Wire Transfer Via: Wells Fargo NA/ A/C: Aba/ Phoeni AZ Ben: Charles Bruce Wichita KS  US Ref:/Time/: Imad: BQgcC Trn: Es,Bank to Bank - Personal transaction,127
467,Wire Trans Svc Charge  Sequence:  Srf  Trn Rfb ,Bank to Bank - Personal transaction,47
468,LAZ PARKING  NEWPORT BEACH CA ,Personal Expense,30
469,Check ,Personal Expense,6
470,Fede   TN Card ,Online purchase,15
471,NonChase ATM FeeWithdrawal,Personal Expense,26
472,Money Transfer authorized on / ,Bank to Bank - Personal transaction,31
473,Check    $. ,Personal Expense,12
474,DAVIS AND ASSOC! DES:Payroll ID: ,Deposit,33
476,Check  ,Personal Expense,7
477,Zelle Payment To Kaner Vonap Jpm,Bank to Bank - Personal transaction,32
478,"MERCHANTS FOODSE DES:MERCHANTS ID:FTXXXXXXXXX INDN:NEW AGE VENDING LLC CO ,. ",Food bill,77
479,The Springs  Web ID: ,Online purchase,21
