,clean_data_l2,final_label
386,"Quuicken Loans Mtg Pymts PPD ID: © ,.",Personal Expense
387,Online Domestic Wire Transfer Via: Bbva USA/ A/C: Mach  Tempe AZ  US Imad: BQgcC,Bank to Bank - Personal transaction
388,"Orig CO Name:Shopify Capital, Orig ID: Desc Date: CO Entry Descr:Ramhdotet Sec:CCD Trace: Eed: Ind ID: Ind Name:Marner Holdings Inc Trn: Tc",Online purchase
389,Card Purchase Mach Global Services  AZ Card ,Online purchase
390,Card Purchase at End Clothing Newcastle Upo,Online purchase
391,Check   Capital One Arc Check Pymt Arc ID: ,Bank to Bank - Personal transaction
392,"MERCHANTS FOODSE DES:MERCHANTS ID:FTXXOXXXXXXX INDN:NEW AGE VENDING LLC CO ,.",Food bill
393,Withdrawal  ATM Withdrawal ,Personal Expense
394,Wire Trans Svc Charge  Sequence:  Srf,Bank to Bank - Personal transaction
396,Hmfusa.Com PPD ID: ,Online purchase
397,Service fees ,Personal Expense
398,Check No.  A,Personal Expense
399,Zelle Payment To Eddie Rojas ,Bank to Bank - Personal transaction
400,Check ,Personal Expense
401,Online Wire Transfer Via: Wells Fargo NA/ A/C: Andres Salami Miramar FL  US Ref:/Time/: Imad: BQgcC Trn: Es,Bank to Bank - Personal transaction
402,Online Transfer To Chk  Transaction: ,Bank to Bank - Personal transaction
403,Card Purchase With Pin at EviSan Manuel ,Online purchase
404,Electronic withdrawal to Irs Usatapymt  CCD ID: ,Personal Expense
405,A ,Bank to Bank - Personal transaction
406,Check No.  A,Personal Expense
407,Citi Autopay Payment  Tel ID: Citicardap,Bank to Bank - Personal transaction
408,Bill Pay Chase Card Servi onLine Xooooo on ,Online purchase
409,Orig CO Name:Shopify Capital        Orig ID: Desc Date: CO Entry ,Online purchase
410,Check ,Bank to Bank - Personal transaction
411," Jurupa Csd Onlin Pmnt  Web ID:  . ,.",Gas bill
412,Check ,Personal Expense
413,Fede   TN Card ,Online purchase
414,Redwood Mortgage Achuwbeb ,Bank to Bank - Personal transaction
415,Withdrawal  ATM /  ATB:CITY GROCERY ON:  VIA:  AMT: .,Personal Expense
416,Citi Card Online Payment  Web ,Online purchase
417,Bill Pay Waste Management onLine ,Gas bill
418,"Orig CO Name: Goldenrule, Orig ID: , Desc Date: , CO Entry Descr: Ins Prem, Sec: PPD, Trace: , Eed: , Ind Name: Kaner Apelacio",Personal Expense
419,CHECK NO.  A,Personal Expense
420,TRAVELERS ,Personal Expense
421,Bill Pay Target Credit Card onLine Xoo:c on ,Online purchase
422,Check   ,Personal Expense
423,Bill Pay Biz Credit Card onLine Xooooo on ,Online purchase
424,Barclaycard US ,Online purchase
425,Recurring Card Purchase ,Online purchase
426,Orig CO Name:Shopify Capital Orig ID: Desc Date: CO Entry Descr:RFfNpl Sec:CCD Trace: Eed: Ind ID: Ind Name:Marner Holdings Inc Trn: Tc,Online purchase
427,Online Wire Transfer Via: Wells Fargo NA/ A/C: Daniel Ramirez Hialeah FL  US Ref:/Time/: Imad: BQgcC Trn: Es,Bank to Bank - Personal transaction
428,Card Purchase  Amzn Mkip USBaC Amzn.Com/Bill WA Card ,Online purchase
429,Card Purchase ,Online purchase
430,Recurring Card Purchase / Adobe  Adobe.Ly/Enus CA Card ,Online purchase
431,AMERICAN EXPRESS DES:AXP DISCNT ID: INDN:PLANET SMOOT CO .,Online purchase
432,Orig CO Name:Gusto Orig D: Desc Date: CO Entry Descr.Fee . ec.CCD  Trace: Eed: ,Personal Expense
433,Net ,Online purchase
434,"AMERICAN EXPRESS Bill Payment ,.",Personal Expense
435,Card Purchase With Pin  Usps PO   West Hollywoo CA Card  .,Online purchase
436,Card Purchase With Pin ,Online purchase
437,Check No.  A,Personal Expense
438,Online Transfer To Chk  Transaction: ,Bank to Bank - Personal transaction
439,Agent Assisted pymt to BkofAm CRD  Confirmation ,Bank to Bank - Personal transaction
440,Transfer ,Bank to Bank - Personal transaction
441,AMERICAN EXPRESS DES:AXP DISCNT ID: INDN:PLANET SMOOT CO . ID: CCD,Online purchase
442,Card Purchase With Pin  Pro Mart Los Angeles CA Card ,Online purchase
443,Irs Usatapymt  CCD ID: ,Personal Expense
444,Zelle Payment To Melissa Fw Jpm,Bank to Bank - Personal transaction
445,Orig CO Name:Shopify Capital Orig ID: Desc Date: CO Entry Descr:Rtbjuwjqu Sec:CCD Trace: Eed: Ind ID: Ind Name:Marner Holdings Inc Trn: Tc,Online purchase
446,Online Banking transfer to CHK  ,Bank to Bank - Personal transaction
447,BANK OF AMERICA DES:FINCL ADJ ID: INDN:LV NET LLC CO ID:XXXXXXXXXB CCD,Bank to Bank - Personal transaction
448,Check No.  A,Personal Expense
449,Online Transfer To Chk  Transaction: ,Bank to Bank - Personal transaction
450,"AMERICAN EXPRESS Bill Payment ,.",Gas bill
451,Recurring Card Purchase  Lzc Legal Plan  CA Card ,Online purchase
452,"Online Domestic Wire Transfer Via: Wells Fargo NA/ A/C: Neil C Mathura Pembroke Pines FL  US Ref: Reimbursement ./Acc/Org CR Pty Aba/ Wellsfargo Bank, Nat lonal Associat   E Nine Mile Rd/Time/: Imad: BQgcC Trn: Es",Bank to Bank - Personal transaction
453,Orig CO Name:Shopify Capital        Orig ID: Desc Date: CO Entry ,Online purchase
454,Check ,Personal Expense
455,Check  ,Personal Expense
456,Check ,Personal Expense
457,Card Purchase Fede   TN Card ,Online purchase
459,Check  ,Personal Expense
461,Check    Socalgas Arc Pymt Arc ID: ,Gas bill
462,Orig CO Name:Shopify Capital Orig ID: Desc Date: CO Entry Descr:RflaeIsa Sec:CCD Trace: Eed: Ind ID: Ind Name:Marner Holdings Inc Trn: ,Online purchase
463,Bill Pay TriState Electric Membership CO onLine  on ,Gas bill
464,Online Transfer To Chk  Transaction; ,Bank to Bank - Personal transaction
465,AMERICAN EXPRESS DES:AXP DISCNT ,Online purchase
466,Online Wire Transfer Via: Wells Fargo NA/ A/C: Aba/ Phoeni AZ Ben: Charles Bruce Wichita KS  US Ref:/Time/: Imad: BQgcC Trn: Es,Bank to Bank - Personal transaction
467,Wire Trans Svc Charge  Sequence:  Srf  Trn Rfb ,Bank to Bank - Personal transaction
468,LAZ PARKING  NEWPORT BEACH CA ,Personal Expense
469,Check ,Personal Expense
470,Fede   TN Card ,Online purchase
471,NonChase ATM FeeWithdrawal,Personal Expense
472,Money Transfer authorized on / ,Bank to Bank - Personal transaction
473,Check    $. ,Personal Expense
474,DAVIS AND ASSOC! DES:Payroll ID: ,Deposit
476,Check  ,Personal Expense
477,Zelle Payment To Kaner Vonap Jpm,Bank to Bank - Personal transaction
478,"MERCHANTS FOODSE DES:MERCHANTS ID:FTXXXXXXXXX INDN:NEW AGE VENDING LLC CO ,. ",Food bill
479,The Springs  Web ID: ,Online purchase
